,updates
972,97638
973,20867
974,542428
975,634504
976,768307
977,563363
978,389089
979,663307
980,672760
981,352734
982,155189
983,613284
984,445904
985,653461
986,602937
987,518841
988,539208
989,734392
990,592526
991,538589
992,634666
993,496669
994,538140
995,572453
996,677247
997,161639
998,629095
999,593136
1000,562736
1001,639951
1002,350685
1003,754247
1004,720557
1005,278217
1006,697886
1007,524019
1008,575665
1009,697795
1010,700666
1011,653969
1012,530580
1013,421016
1014,642779
1015,381274
1016,591166
1017,535831
1018,391342
1019,461532
1020,480604
1021,540686
1022,540852
1023,547302
1024,123843
1025,385660
1026,264985
1027,461895
1028,696197
1029,672961
1030,344486
1031,632997
1032,542281
1033,567453
1034,724432
1035,549132
1036,468495
1037,254770
1038,404899
1039,342903
1040,779305
1041,766353
1042,635200
1043,37023
1044,646623
1045,480954
1046,338942
1047,594211
1048,744343
1049,500551
1050,734069
1051,442481
1052,229974
1053,437147
1054,656717
1055,441299
1056,571627
1057,126466
1058,478968
1059,593373
1060,564647
1061,575971
1062,569148
1063,225016
1064,596806
1065,566160
1066,373632
1067,661191
1068,398771
1069,511815
1070,714217
1071,550961
1072,636928
1073,487945
1074,613139
1075,534712
1076,387621
1077,688200
1078,494583
1079,556117
1080,636099
1081,624958
1082,601395
1083,541141
1084,281988
1085,622677
1086,597085
1087,519731
1088,526700
1089,598364
1090,464355
1091,549924
1092,581310
1093,182928
1094,502291
1095,428808
1096,401931
1097,340143
1098,567932
1099,590679
1100,497921
1101,531096
1102,226470
1103,404293
1104,603125
1105,14844
1106,152679
1107,675699
1108,555509
1109,551397
1110,467941
1111,684606
1112,480418
1113,454486
1114,467855
1115,251024
1116,724481
1117,407177
1118,618334
1119,680654
1120,439020
1121,543281
1122,499635
1123,491523
1124,570839
1125,522396
1126,587558
1127,525305
1128,486834
1129,569537
1130,584501
1131,524543
1132,448789
1133,671175
1134,628356
1135,215647
1136,410187
1137,354923
1138,594151
1139,515137
1140,555852
1141,526388
1142,495979
1143,514131
1144,125525
1145,484333
1146,650520
1147,466027
1148,545353
1149,387107
1150,510364
1151,467744
1152,625341
1153,477592
1154,339634
1155,613482
1156,692345
1157,638189
1158,533976
1159,283621
1160,820077
1161,320925
1162,215299
1163,532160
1164,718833
1165,453586
1166,280889
1167,432562
1168,583014
1169,459310
1170,632674
1171,547467
1172,496723
1173,569156
1174,621187
1175,308823
1176,589287
1177,636259
1178,580973
1179,311158
1180,642980
1181,445498
1182,775811
1183,159399
1184,512207
1185,507472
1186,552986
1187,555762
1188,553085
1189,572060
1190,459454
1191,616720
1192,525920
1193,336191
1194,599416
1195,560880
1196,368975
1197,446503
1198,671540
1199,697992
1200,519879
1201,453277
1202,377350
1203,609128
1204,400913
1205,359518
1206,310936
1207,652380
1208,335519
1209,348903
1210,760142
1211,561779
1212,452905
1213,515214
1214,376555
1215,666810
1216,530317
1217,50531
1218,785894
1219,566376
1220,356381
1221,562081
1222,469547
1223,638235
1224,485183
1225,683537
1226,377727
1227,619155
1228,521334
1229,591469
1230,458803
1231,322299
1232,411453
1233,676656
1234,281743
1235,590990
1236,555177
1237,642391
1238,514880
1239,702413
1240,236320
1241,583635
1242,390916
1243,435903
1244,361427
1245,565254
1246,615098
1247,480697
1248,783911
1249,576383
1250,484640
1251,457659
1252,694767
1253,648196
1254,375729
1255,665351
1256,498446
1257,699262
1258,497952
1259,808664
1260,596451
1261,485842
1262,591549
1263,296399
1264,589716
1265,610237
1266,621102
1267,183683
1268,588350
1269,514491
1270,438133
1271,367856
1272,605449
1273,662410
1274,532863
1275,512738
1276,430885
1277,543852
1278,452626
1279,528625
1280,219276
1281,299820
1282,382200
1283,609737
1284,554666
1285,509534
1286,568858
1287,121883
1288,478388
1289,484832
1290,274262
1291,421781
1292,727402
1293,548666
1294,665608
1295,592492
1296,545875
1297,444708
1298,639455
1299,639068
1300,442856
1301,663696
1302,211882
1303,536686
1304,545648
1305,489740
1306,253501
1307,538555
1308,501899
1309,311935
1310,615406
1311,657199
1312,563494
1313,538431
1314,306280
1315,360773
1316,618528
1317,531013
1318,429611
1319,460169
1320,566096
1321,564289
1322,355612
1323,633470
1324,458131
1325,34637
1326,371189
1327,585851
1328,397000
1329,608023
1330,442963
1331,464950
1332,476304
1333,547995
1334,340756
1335,442460
1336,403240
1337,240118
1338,173548
1339,421774
1340,620302
1341,503972
1342,584638
1343,450975
1344,677203
1345,274845
1346,474539
1347,179309
1348,437541
1349,282972
1350,510012
1351,590816
1352,306354
1353,544805
1354,448943
1355,341825
1356,566354
1357,512870
1358,465106
1359,405592
1360,374941
1361,372984
1362,87641
1363,618950
1364,465996
1365,503318
1366,638980
1367,779304
1368,658628
1369,171200
1370,414995
1371,210694
1372,510437
1373,556776
1374,611899
1375,548388
1376,492619
1377,561366
1378,583453
1379,446036
1380,327230
1381,237210
1382,543685
1383,504506
1384,531011
1385,459774
1386,482175
1387,561829
1388,644658
1389,291393
1390,595334
1391,610749
1392,627910
1393,552021
1394,492928
1395,437923
1396,529935
1397,383820
1398,550158
1399,226230
1400,568784
1401,570365
1402,252532
1403,521067
1404,426414
1405,761386
1406,326515
1407,557360
1408,542845
1409,594321
1410,552500
1411,719582
1412,557392
1413,567962
1414,567047
1415,416125
1416,267017
1417,381686
1418,638832
1419,481119
1420,397999
1421,579042
1422,465890
1423,247668
1424,346299
1425,601566
1426,218947
1427,537673
1428,600506
1429,551679
1430,597979
1431,638204
1432,136298
1433,644996
1434,419320
1435,571571
1436,481287
1437,545886
1438,188425
1439,433216
1440,510430
1441,326590
1442,574258
1443,527517
1444,441734
1445,379634
1446,536651
1447,138170
1448,550900
1449,642144
1450,293126
1451,589006
1452,520184
1453,440052
1454,675863
1455,690695
1456,526009
1457,346210
1458,706958
1459,613384
1460,610899
1461,543485
1462,24759
1463,574856
1464,421551
1465,433734
1466,317840
1467,664384
1468,385777
1469,767620
1470,639608
1471,484958
1472,68801
1473,560101
1474,465520
1475,786071
1476,440275
1477,450772
1478,477683
1479,419127
1480,509888
1481,456715
1482,597242
1483,175635
1484,353771
1485,619303
1486,77066
1487,281588
1488,564697
1489,571312
1490,500689
1491,578687
1492,647122
1493,477003
1494,418186
1495,242081
1496,399182
1497,362339
1498,478413
1499,646156
1500,150274
1501,601723
1502,181279
1503,439499
1504,507929
1505,522458
1506,514756
1507,450237
1508,498985
1509,516501
1510,593803
1511,537430
1512,625032
1513,546393
1514,615228
1515,627060
1516,587029
1517,451778
1518,483310
1519,239922
1520,442011
1521,499255
1522,225408
1523,630740
1524,26886
1525,562387
1526,497519
1527,451163
1528,538789
1529,552607
1530,474232
1531,425691
1532,572688
1533,407116
1534,586286
1535,587390
1536,441357
1537,29890
1538,473668
1539,718546
1540,758909
1541,382540
1542,653084
1543,689962
1544,384483
1545,503932
1546,369965
1547,330200
1548,539895
1549,482083
1550,345837
