,updates
963,694146
964,438466
965,497678
966,609366
967,401815
968,637322
969,347557
970,543640
971,385285
972,537628
973,569472
974,640214
975,498459
976,625428
977,426169
978,637673
979,537010
980,417548
981,594789
982,489647
983,509534
984,478628
985,262310
986,463603
987,360845
988,660603
989,438267
990,302873
991,580584
992,479827
993,441998
994,589942
995,367548
996,598279
997,646348
998,525630
999,466785
1000,451243
1001,594832
1002,419589
1003,253291
1004,513731
1005,571115
1006,492150
1007,750273
1008,583815
1009,634046
1010,554930
1011,518153
1012,521676
1013,416708
1014,497883
1015,510385
1016,478792
1017,375572
1018,538301
1019,229782
1020,563006
1021,568643
1022,564648
1023,601497
1024,620038
1025,353148
1026,313912
1027,300932
1028,338428
1029,564058
1030,336389
1031,576955
1032,371303
1033,699968
1034,337664
1035,32030
1036,457094
1037,266800
1038,493958
1039,353996
1040,542806
1041,565314
1042,282231
1043,648647
1044,380253
1045,286574
1046,560625
1047,521275
1048,498261
1049,428937
1050,488872
1051,622575
1052,478296
1053,323404
1054,361016
1055,366150
1056,412204
1057,575621
1058,693272
1059,537971
1060,401252
1061,573677
1062,605679
1063,632109
1064,514622
1065,568141
1066,544029
1067,553627
1068,591891
1069,454741
1070,497921
1071,535933
1072,510533
1073,514733
1074,558006
1075,502304
1076,424836
1077,502972
1078,442392
1079,344073
1080,420838
1081,521947
1082,511909
1083,429884
1084,326124
1085,660705
1086,634820
1087,472537
1088,626420
1089,252039
1090,454568
1091,585974
1092,408830
1093,190308
1094,594893
1095,450190
1096,343187
1097,716500
1098,293986
1099,175938
1100,473754
1101,304958
1102,539188
1103,494046
1104,591006
1105,452570
1106,527121
1107,376075
1108,722337
1109,490043
1110,486187
1111,734419
1112,570354
1113,280127
1114,406052
1115,393336
1116,770482
1117,498396
1118,290346
1119,672577
1120,426249
1121,514710
1122,580780
1123,634457
1124,515259
1125,613989
1126,177388
1127,319311
1128,494589
1129,375346
1130,431625
1131,611316
1132,463346
1133,430882
1134,447469
1135,410029
1136,371161
1137,316414
1138,313704
1139,669527
1140,549934
1141,593065
1142,142669
1143,459742
1144,420472
1145,547570
1146,451749
1147,467054
1148,672115
1149,256685
1150,578836
1151,655013
1152,626478
1153,603713
1154,294244
1155,154146
1156,431352
1157,667456
1158,601573
1159,502073
1160,311580
1161,577356
1162,459771
1163,472169
1164,565778
1165,511356
1166,484870
1167,479812
1168,469425
1169,461365
1170,492917
1171,613208
1172,499009
1173,478967
1174,648352
1175,344196
1176,561169
1177,622801
1178,670332
1179,459755
1180,318798
1181,548889
1182,337772
1183,678856
1184,463213
1185,573208
1186,498589
1187,571807
1188,488326
1189,324226
1190,517917
1191,401393
1192,559482
1193,123730
1194,554324
1195,272395
1196,561231
1197,408770
1198,619714
1199,696631
1200,401398
1201,481908
1202,387904
1203,485894
1204,691083
1205,196151
1206,117356
1207,551102
1208,427721
1209,739554
1210,489546
1211,360179
1212,456178
1213,503876
1214,481183
1215,402174
1216,442653
1217,275207
1218,571355
1219,486040
1220,586454
1221,308454
1222,474213
1223,508920
1224,651450
1225,530951
1226,597314
1227,450664
1228,384041
1229,728627
1230,406617
1231,382675
1232,339884
1233,559428
1234,467906
1235,450856
1236,532039
1237,409845
1238,369687
1239,343934
1240,276800
1241,336882
1242,477428
1243,751687
1244,252353
1245,543718
1246,702244
1247,206405
1248,699726
1249,717614
1250,423031
1251,510092
1252,713906
1253,510324
1254,537887
1255,669218
1256,506149
1257,559353
1258,577974
1259,497349
1260,504911
1261,534535
1262,384072
1263,686467
1264,211531
1265,468789
1266,446194
1267,448542
1268,402394
1269,428414
1270,396265
1271,346902
1272,478977
1273,452458
1274,505917
1275,515455
1276,575331
1277,448665
1278,419022
1279,633807
1280,562934
1281,233141
1282,568597
1283,40033
1284,597537
1285,250479
1286,194150
1287,433758
1288,490043
1289,466843
1290,451711
1291,57959
1292,539215
1293,485790
1294,336574
1295,676790
1296,412555
1297,428827
1298,364925
1299,453270
1300,575704
1301,355207
1302,436612
1303,472472
1304,560720
1305,397745
1306,373408
1307,535668
1308,567112
1309,525909
1310,318327
1311,530640
1312,624350
1313,495984
1314,355048
1315,453273
1316,127519
1317,534944
1318,538500
1319,523063
1320,537482
1321,392057
1322,474729
1323,665661
1324,512200
1325,420925
1326,502800
1327,451848
1328,664594
1329,268803
1330,503574
1331,562936
1332,634216
1333,354915
1334,564489
1335,387739
1336,549572
1337,486800
1338,486919
1339,372617
1340,541835
1341,572894
1342,525538
1343,495479
1344,284586
1345,254576
1346,209318
1347,576839
1348,552480
1349,533732
1350,588156
1351,595177
1352,387619
1353,484685
1354,464784
1355,422705
1356,324270
1357,484001
1358,352187
1359,462975
1360,535212
1361,395672
1362,399090
1363,469224
1364,483599
1365,206820
1366,552079
1367,458131
1368,435851
1369,603702
1370,502657
1371,386188
1372,229672
1373,383541
1374,462628
1375,444778
1376,380539
1377,598006
1378,448171
1379,397628
1380,580986
1381,697249
1382,722999
1383,482683
1384,517887
1385,470406
1386,277185
1387,487526
1388,420654
1389,551983
1390,502549
1391,414590
1392,526880
1393,505852
1394,428201
1395,509134
1396,451099
1397,533691
1398,466550
1399,352661
1400,419563
1401,565404
1402,549898
1403,376664
1404,400326
1405,242099
1406,406319
1407,256856
1408,478411
1409,641625
1410,418931
1411,516998
1412,519882
1413,529034
1414,824560
1415,494462
1416,342703
1417,418797
1418,375760
